animal,exact_location_r,cross_location_r,pooled_correct_minus_wrong_r,strict_tangential_correct_minus_wrong_r,mirror_wall_r,mirror_open_r
QLAK-CA1-08,0.15132265356733618,0.06724906071342264,0.011865460148681374,-0.02866535980896293,0.024682353975061896,-0.07604775149923595
QLAK-CA1-30,0.22527151816281044,0.11494096683863748,0.08713501046028485,0.09770070252946705,0.09316420256659573,-0.018548434625293736
QLAK-CA1-50,0.2951519744874482,0.2444201819655655,0.23465611226465438,0.2398818610593788,0.26079067596069405,-0.07206194616338885
QLAK-CA1-51,0.19166214485408545,0.0890663030853911,0.11457740447957838,-0.0563139223725235,-0.04154291360813099,-0.059031620553359684
QLAK-CA1-56,0.18052380030673199,0.062050813568342786,0.04347585857101485,0.037383834423982264,0.0012015635603428478,-0.005001303907399581
QLAK-CA1-74,0.3055495337720329,0.31960792482569683,0.16919739020810454,,,
QLAK-CA1-75,0.25876919148850436,0.1363132043289783,0.04576713102617094,-0.04854700854700853,,
