animal,same_cycle_full_session_strip_delta_r,same_cycle_full_session_strip_coverage_eligible,target_rate_heldout_global_rate_demeaned_delta_r,same_cycle_raw_split_delta_r,same_cycle_raw_split_coverage_eligible,target_rate_heldout_behavior_adjusted_delta_r,target_rate_heldout_behavior_adjusted_no_time_delta_r
QLAK-CA1-08,0.13591503595313545,True,0.1230374432486928,0.10263356538887514,True,0.1194890875920119,0.12075436942498112
QLAK-CA1-30,0.18411940555828674,True,0.20541421036725888,0.14806586793770468,True,0.196727691940133,0.19657068626651353
QLAK-CA1-50,0.25558683595394194,True,0.29817152851922524,0.22876515658352736,True,0.2846282628441534,0.28593626644068176
QLAK-CA1-51,0.18578111489560584,True,0.19049833370474295,0.13546009896274433,True,0.1619098339666158,0.1582796829951396
QLAK-CA1-56,0.12694519923277617,True,0.1602814541543985,0.1185308115576723,True,0.12886923465698816,0.12762952280878218
QLAK-CA1-74,0.19656283038790076,False,0.34097610713539683,-0.0643359933847572,False,0.3526265645543188,0.3605539982962829
QLAK-CA1-75,0.18066277835347375,True,0.17763931910784542,0.1727591165684521,False,0.22193396024054024,0.2232455687331794
