animal,tier1_percentile_rank,tier1_correct_minus_mean_alternative_r,tier1_correct_minus_best_alternative_r,tier1_scored_queries,tier1_exposure_pairs,tier2_centered_percentile_rank,tier2_scored_queries,tier2_exposure_pairs
QLAK-CA1-08,0.519281517094017,0.01200131361372166,-0.05917412123808728,79,2,-0.018939393939393943,45,2
QLAK-CA1-30,0.6070833333333333,0.08713501046028485,0.033225440883196455,80,2,0.1358695652173913,46,2
QLAK-CA1-50,0.7597916666666666,0.23465611226465438,0.17832156565491591,80,2,0.22644927536231885,46,2
QLAK-CA1-51,0.583125,0.11457740447957838,0.05605248917748917,40,1,-0.05434782608695652,23,1
QLAK-CA1-56,0.5625,0.043475858571014846,-0.006455005258988903,80,2,0.05615942028985508,46,2
QLAK-CA1-74,0.6666666666666666,0.16919739020810454,0.16919739020810454,6,2,,,
QLAK-CA1-75,0.5840277777777778,0.05249209122240127,0.04312152006215197,22,2,0.08333333333333333,3,1
